t,UABreal,UFD,IFD,UAB
2.905,100.13,112.41,1024.3,1.0013
2.91,100.12,112.08,1026,1.0012
2.915,100.13,111.91,1024.7,1.0013
2.92,100.12,111.85,1024.7,1.0012
2.925,100.12,111.93,1025.1,1.0012
2.93,100.11,111.71,1023.5,1.0011
2.935,100.12,112,1023.7,1.0012
2.94,100.1,111.88,1026.3,1.001
2.945,100.11,112.04,1028.6,1.0011
2.95,100.1,111.91,1028.1,1.001
2.955,100.11,112.02,1029.3,1.0011
2.96,100.09,111.97,1028.8,1.0009
2.965,100.1,112.05,1028.5,1.001
2.97,100.1,111.82,1028.3,1.001
2.975,100.11,111.92,1027.6,1.0011
2.98,100.1,111.79,1025.9,1.001
2.985,100.1,111.93,1023.9,1.001
2.99,100.08,112.16,1026.1,1.0008
2.995,100.09,112.24,1024.3,1.0009
3,100.08,112.09,1023.7,1.0008
3.005,100.09,112.18,1022.8,1.0009
3.01,100.08,111.99,1022.7,1.0008
3.015,100.09,111.98,1024.1,1.0009
3.02,100.07,111.91,1024.8,1.0007
3.025,100.08,111.99,1027.2,1.0008
3.03,100.07,111.85,1026,1.0007
3.035,100.08,112.2,1026,1.0008
3.04,100.06,112.16,1027.5,1.0006
3.045,100.07,112.37,1028.5,1.0007
3.05,100.06,112.47,1027.7,1.0006
3.055,100.07,112.64,1028.6,1.0007
3.06,100.05,112.54,1027.6,1.0005
3.065,100.06,112.67,1026.9,1.0006
3.07,100.04,112.57,1027.3,1.0004
3.075,100.05,112.62,1026.4,1.0005
3.08,100.03,112.58,1025.6,1.0003
3.085,100.04,112.53,1023,1.0004
3.09,100.02,112.19,1025.9,1.0002
3.095,100.03,112.15,1024.9,1.0003
3.1,100.01,111.93,1024.3,1.0001
3.105,100.02,112.24,1024.4,1.0002
3.11,100.01,112.14,1021.6,1.0001
3.115,100.01,112.29,1022.8,1.0001
3.12,100,112.17,1024.1,1
3.125,100.01,112.29,1026.4,1.0001
3.13,100,112.18,1025.2,1
3.135,100.01,112.24,1025.7,1.0001
3.14,99.996,112.05,1026.4,0.99996
3.145,100,111.99,1025.6,1
3.15,99.989,111.74,1027.4,0.99989
3.155,99.998,111.85,1025.9,0.99998
3.16,99.976,111.62,1023.8,0.99976
3.165,99.986,111.75,1022.2,0.99986
3.17,99.966,111.57,1023.6,0.99966
3.175,99.976,111.68,1022.9,0.99976
3.18,99.959,111.45,1024,0.99959
3.185,99.969,111.59,1023.8,0.99969
3.19,99.953,111.47,1022.1,0.99953
3.195,99.963,111.63,1023.3,0.99963
3.2,99.95,111.68,1024.3,0.9995
3.205,99.96,111.79,1027.3,0.9996
3.21,99.947,111.69,1026.1,0.99947
3.215,99.958,111.8,1027,0.99958
3.22,99.945,111.62,1026.9,0.99945
3.225,99.955,111.72,1026.1,0.99955
3.23,99.942,111.76,1026.4,0.99942
3.235,99.953,111.98,1026,0.99953
3.24,99.944,112.18,1025.3,0.99944
3.245,99.955,112.39,1024.3,0.99955
3.25,99.943,112.35,1025.6,0.99943
3.255,99.953,112.45,1023.6,0.99953
3.26,99.94,112.18,1022.3,0.9994
3.265,99.951,112.31,1021,0.99951
3.27,99.94,112.25,1021.8,0.9994
3.275,99.952,112.48,1021.8,0.99952
3.28,99.937,112.38,1022.6,0.99937
3.285,99.949,112.57,1023.3,0.99949
3.29,99.938,112.33,1021.7,0.99938
3.295,99.951,112.37,1023.7,0.99951
3.3,99.936,112.41,1025.2,0.99936
3.305,99.95,112.46,1028,0.9995
3.31,99.935,112.14,1027.5,0.99935
3.315,99.948,112.16,1027.5,0.99948
3.32,99.945,111.61,1024.9,0.99945
3.325,99.958,111.77,1023.7,0.99958
3.33,99.95,111.8,1026.1,0.9995
3.335,99.963,111.88,1023.9,0.99963
3.34,99.953,112.08,1022.8,0.99953
3.345,99.964,112.04,1020.6,0.99964
3.35,99.957,112.07,1020.6,0.99957
3.355,99.969,112.42,1020.7,0.99969
3.36,99.964,112.41,1022.1,0.99964
3.365,99.979,112.71,1022.4,0.99979
3.37,99.977,112.39,1021.2,0.99977
3.375,99.991,112.45,1023,0.99991
3.38,99.986,111.89,1025.1,0.99986
3.385,100,111.88,1028.1,1
3.39,99.991,111.76,1026.7,0.99991
3.395,100,111.86,1027.6,1
3.4,99.994,112.03,1026.8,0.99994
3.405,100,112.14,1024.9,1
3.41,99.996,112.12,1026.1,0.99996
3.415,100,112.12,1023.8,1
3.42,100,111.87,1021.9,1
3.425,100.01,111.98,1020.3,1.0001
3.43,100.01,111.59,1021,1.0001
3.435,100.02,111.92,1020.7,1.0002
3.44,100.01,112.08,1020.8,1.0001
3.445,100.02,112.29,1021.7,1.0002
3.45,100.02,112.32,1019.8,1.0002
3.455,100.03,112.23,1021.8,1.0003
3.46,100.03,111.76,1024.6,1.0003
3.465,100.05,111.88,1027.1,1.0005
3.47,100.05,111.84,1026.8,1.0005
3.475,100.06,112.05,1027.3,1.0006
3.48,100.05,112.1,1026.3,1.0005
3.485,100.07,112.12,1024.4,1.0007
3.49,100.06,111.9,1025.4,1.0006
3.495,100.07,112.14,1025.4,1.0007
3.5,100.06,112.01,1023.6,1.0006
3.505,100.08,112.04,1022.2,1.0008
3.51,100.06,111.66,1023,1.0006
3.515,100.08,111.66,1020.2,1.0008
3.52,100.07,111.61,1020.1,1.0007
3.525,100.08,111.92,1020.6,1.0008
3.53,100.07,111.8,1018.8,1.0007
3.535,100.08,111.77,1021.2,1.0008
3.54,100.08,111.59,1023.4,1.0008
3.545,100.09,111.82,1025.2,1.0009
3.55,100.07,112.12,1024.9,1.0007
3.555,100.09,112.4,1025.2,1.0009
3.56,100.08,112.06,1025.1,1.0008
3.565,100.09,111.91,1023.6,1.0009
3.57,100.09,111.72,1024.4,1.0009
3.575,100.1,111.76,1022.2,1.001
3.58,100.1,111.67,1020.1,1.001
3.585,100.11,111.89,1019.3,1.0011
3.59,100.09,111.41,1020.8,1.0009
3.595,100.1,111.43,1021.1,1.001
3.6,100.09,111.46,1021.8,1.0009
3.605,100.1,111.58,1022.8,1.001
3.61,100.08,111.65,1021.7,1.0008
3.615,100.09,112.05,1021.6,1.0009
3.62,100.08,112.02,1024,1.0008
3.625,100.09,112.38,1024.5,1.0009
3.63,100.08,112.48,1023.5,1.0008
3.635,100.09,112.45,1025.5,1.0009
3.64,100.07,112.38,1025.2,1.0007
3.645,100.08,112.49,1027,1.0008
3.65,100.07,112.42,1027.6,1.0007
3.655,100.08,112.54,1025.7,1.0008
3.66,100.07,112.23,1022.6,1.0007
3.665,100.08,112.19,1019.4,1.0008
3.67,100.07,111.87,1021.4,1.0007
3.675,100.08,112.22,1021.1,1.0008
3.68,100.06,112.15,1021.4,1.0006
3.685,100.07,112.37,1021.2,1.0007
3.69,100.06,112.6,1021.3,1.0006
3.695,100.07,112.57,1022.1,1.0007
3.7,100.05,112.45,1024.6,1.0005
3.705,100.06,112.49,1028,1.0006
3.71,100.05,112.12,1025.4,1.0005
3.715,100.05,112.24,1026.7,1.0005
3.72,100.03,112.1,1026.3,1.0003
3.725,100.04,112.15,1024.4,1.0004
3.73,100.02,111.98,1025.4,1.0002
3.735,100.03,112.12,1024.1,1.0003
3.74,100.01,112.04,1023.8,1.0001
3.745,100.02,112.27,1022.7,1.0002
3.75,100,112,1024.4,1
3.755,100.01,112.02,1023.1,1.0001
3.76,99.994,111.74,1021.3,0.99994
3.765,100,111.65,1023.8,1
3.77,99.989,111.69,1022.6,0.99989
3.775,100,111.91,1024,1
3.78,99.987,111.83,1024.3,0.99987
3.785,99.999,111.95,1023.5,0.99999
3.79,99.975,111.56,1022.6,0.99975
3.795,99.987,111.5,1023,0.99987
3.8,99.962,111.44,1024.2,0.99962
3.805,99.975,111.87,1024.7,0.99975
3.81,99.97,111.93,1026.7,0.9997
3.815,99.983,112.26,1025.8,0.99983
3.82,99.967,112.31,1024.5,0.99967
3.825,99.981,112.41,1022.4,0.99981
3.83,99.953,112.4,1022.6,0.99953
3.835,99.966,112.64,1021.9,0.99966
3.84,99.947,112.31,1021.5,0.99947
3.845,99.961,112.27,1023,0.99961
3.85,99.94,112.01,1019.5,0.9994
3.855,99.956,111.84,1021.7,0.99956
3.86,99.935,111.88,1023.5,0.99935
3.865,99.949,112.23,1024.4,0.99949
3.87,99.93,111.97,1025.3,0.9993
3.875,99.945,112.1,1024.5,0.99945
3.88,99.925,111.6,1022.5,0.99925
3.885,99.942,111.53,1020.7,0.99942
3.89,99.929,111.68,1022.3,0.99929
3.895,99.945,111.92,1020.8,0.99945
3.9,99.929,111.84,1020.9,0.99929
3.905,99.946,112.12,1020.2,0.99946
3.91,99.935,111.99,1021.6,0.99935
3.915,99.952,112,1022.8,0.99952
3.92,99.932,111.87,1024,0.99932
3.925,99.948,111.88,1025.7,0.99948
3.93,99.922,111.46,1021.8,0.99922
3.935,99.941,111.61,1023.1,0.99941
3.94,99.923,111.52,1024.6,0.99923
3.945,99.94,111.61,1025.3,0.9994
3.95,99.922,111.55,1026.1,0.99922
3.955,99.939,111.74,1025.2,0.99939
3.96,99.93,111.52,1022,0.9993
3.965,99.947,111.63,1019.5,0.99947
3.97,99.933,111.63,1022,0.99933
3.975,99.95,111.87,1021,0.9995
3.98,99.939,111.94,1021.5,0.99939
3.985,99.958,112.22,1021.2,0.99958
3.99,99.951,112.05,1020.3,0.99951
3.995,99.97,112.06,1020.8,0.9997
4,99.962,111.79,1022.4,0.99962
4.005,99.979,111.92,1024.3,0.99979
4.01,99.97,111.77,1022.3,0.9997
4.015,99.988,112.03,1023.2,0.99988
4.02,99.974,112.09,1024.3,0.99974
4.025,99.991,112.06,1024.3,0.99991
4.03,99.977,111.84,1025.2,0.99977
4.035,99.995,111.84,1024.2,0.99995
4.04,99.982,111.66,1020.3,0.99982
4.045,99.999,111.93,1019.4,0.99999
4.05,99.985,111.89,1021.5,0.99985
4.055,100,112.14,1020.3,1
4.06,99.994,111.95,1021.1,0.99994
4.065,100.01,112.08,1020.3,1.0001
4.07,100,112.06,1019.2,1
4.075,100.01,112.2,1020.5,1.0001
4.08,100.01,112.17,1022.3,1.0001
4.085,100.03,112.34,1025.1,1.0003
4.09,100.02,112.23,1023.4,1.0002
4.095,100.04,112.37,1024.7,1.0004
4.1,100.03,112.22,1025.4,1.0003
4.105,100.05,112.32,1025.1,1.0005
4.11,100.04,112.12,1025.6,1.0004
4.115,100.06,112.21,1024.7,1.0006
4.12,100.05,112.16,1022,1.0005
4.125,100.06,112.41,1020.6,1.0006
4.13,100.05,112.27,1022.7,1.0005
4.135,100.06,112.23,1022.2,1.0006
4.14,100.05,112.02,1022.5,1.0005
4.145,100.07,112.08,1022,1.0007
4.15,100.05,111.9,1019.6,1.0005
4.155,100.07,112.16,1020.5,1.0007
4.16,100.06,111.86,1023.3,1.0006
4.165,100.08,111.9,1026,1.0008
4.17,100.08,111.85,1026.3,1.0008
4.175,100.09,111.93,1026.6,1.0009
4.18,100.09,111.76,1024.1,1.0009
4.185,100.1,111.93,1021.9,1.001
4.19,100.09,111.63,1023.1,1.0009
4.195,100.1,111.76,1020.6,1.001
4.2,100.09,111.76,1019.3,1.0009
4.205,100.1,112.01,1018.4,1.001
4.21,100.08,112.03,1019.5,1.0008
4.215,100.09,112.2,1020.8,1.0009
4.22,100.07,111.92,1023,1.0007
4.225,100.08,111.94,1025.4,1.0008
4.23,100.06,111.64,1022.6,1.0006
4.235,100.08,111.76,1023.8,1.0008
4.24,100.06,111.73,1025,1.0006
4.245,100.07,111.83,1024.7,1.0007
4.25,100.06,111.78,1024.8,1.0006
4.255,100.07,111.99,1024.6,1.0007
4.26,100.06,111.83,1023,1.0006
4.265,100.07,111.99,1021,1.0007
4.27,100.06,111.94,1022.5,1.0006
4.275,100.07,112.15,1020.6,1.0007
4.28,100.05,112.05,1019.6,1.0005
4.285,100.06,112.16,1019.8,1.0006
4.29,100.05,111.9,1019.1,1.0005
4.295,100.06,111.92,1020.2,1.0006
4.3,100.04,111.64,1023,1.0004
4.305,100.05,111.88,1025.2,1.0005
4.31,100.03,111.72,1024,1.0003
4.315,100.04,111.82,1025,1.0004
4.32,100.02,111.74,1023.5,1.0002
4.325,100.03,111.78,1022.5,1.0003
4.33,100,111.65,1023.6,1
4.335,100.02,111.75,1021.6,1.0002
4.34,99.999,111.68,1019.8,0.99999
4.345,100.01,111.83,1018,1.0001
4.35,99.99,111.76,1019,0.9999
4.355,100,111.98,1018.6,1
4.36,99.983,111.78,1020,0.99983
4.365,99.996,111.85,1022.3,0.99996
4.37,99.974,111.68,1020.7,0.99974
4.375,99.987,111.75,1022.8,0.99987
4.38,99.961,111.69,1024.9,0.99961
4.385,99.978,111.89,1025.7,0.99978
4.39,99.959,111.89,1025.3,0.99959
4.395,99.975,112.1,1025.7,0.99975
4.4,99.954,111.93,1023.7,0.99954
4.405,99.97,112.02,1020.9,0.9997
4.41,99.938,111.76,1021.7,0.99938
4.415,99.956,111.94,1019.4,0.99956
4.42,99.931,111.92,1018.4,0.99931
4.425,99.949,112.24,1018,0.99949
4.43,99.928,111.99,1017,0.99928
4.435,99.951,111.9,1018.8,0.99951
4.44,99.923,111.72,1021.8,0.99923
4.445,99.942,111.87,1023.4,0.99942
4.45,99.913,111.68,1023.1,0.99913
4.455,99.933,111.86,1023.6,0.99933
4.46,99.912,111.89,1023.6,0.99912
4.465,99.933,111.78,1023,0.99933
4.47,99.912,111.75,1023.6,0.99912
4.475,99.931,112.04,1022.8,0.99931
4.48,99.909,111.62,1020.6,0.99909
4.485,99.935,112.02,1020.4,0.99935
4.49,99.92,112.23,1023.4,0.9992
4.495,99.942,112.17,1023,0.99942
4.5,99.909,112.09,1023.7,0.99909
4.505,99.928,112.08,1024.7,0.99928
4.51,99.896,111.56,1022.3,0.99896
4.515,99.92,111.8,1022.9,0.9992
4.52,99.9,111.41,1023.5,0.999
4.525,99.927,111.51,1024.8,0.99927
4.53,99.905,111.64,1024.5,0.99905
4.535,99.926,111.77,1024.7,0.99926
4.54,99.909,111.93,1022.6,0.99909
4.545,99.93,112.25,1021.5,0.9993
4.55,99.912,111.95,1023.6,0.99912
4.555,99.94,112.09,1021.3,0.9994
4.56,99.928,111.79,1021.4,0.99928
4.565,99.957,111.69,1020.3,0.99957
4.57,99.946,111.48,1018.9,0.99946
4.575,99.969,111.63,1020.6,0.99969
4.58,99.954,111.67,1021.1,0.99954
4.585,99.976,112.08,1021.5,0.99976
4.59,99.964,112.17,1020,0.99964
4.595,99.984,112.31,1021.5,0.99984
4.6,99.967,111.95,1022.5,0.99967
4.605,99.988,111.85,1021.6,0.99988
4.61,99.968,111.36,1023.7,0.99968
4.615,99.992,111.48,1021.7,0.99992
4.62,99.978,111.4,1020,0.99978
4.625,100,111.75,1019.6,1
4.63,99.983,111.9,1020.5,0.99983
4.635,100,112.02,1020.1,1
4.64,99.995,111.9,1021,0.99995
4.645,100.01,111.95,1023.2,1.0001
4.65,100.01,111.68,1020.8,1.0001
4.655,100.03,111.83,1022.2,1.0003
4.66,100.02,111.68,1023.9,1.0002
4.665,100.04,111.8,1024.3,1.0004
4.67,100.03,111.68,1024.3,1.0003
4.675,100.05,111.84,1024.3,1.0005
4.68,100.04,111.64,1021.5,1.0004
4.685,100.05,111.94,1019.8,1.0005
4.69,100.04,111.92,1021.2,1.0004
4.695,100.06,112.14,1019.8,1.0006
4.7,100.04,111.98,1019.7,1.0004
4.705,100.06,112.11,1019.8,1.0006
4.71,100.04,111.94,1018.2,1.0004
4.715,100.06,112.05,1020.6,1.0006
4.72,100.06,111.66,1022.4,1.0006
4.725,100.07,111.95,1026,1.0007
4.73,100.07,111.68,1024.4,1.0007
4.735,100.08,111.91,1025.2,1.0008
4.74,100.07,111.95,1022.2,1.0007
4.745,100.08,112.02,1021.9,1.0008
4.75,100.08,111.73,1025,1.0008
4.755,100.09,111.7,1021.7,1.0009
4.76,100.08,111.11,1020.2,1.0008
4.765,100.09,111.29,1018.7,1.0009
4.77,100.07,111.13,1017.5,1.0007
4.775,100.08,111.48,1019.1,1.0008
4.78,100.06,111.58,1020.1,1.0006
4.785,100.07,111.8,1021.6,1.0007
4.79,100.05,111.4,1021.2,1.0005
4.795,100.06,111.52,1021.3,1.0006
4.8,100.05,111.3,1022.4,1.0005
4.805,100.06,111.49,1023.6,1.0006
4.81,100.04,111.59,1024.7,1.0004
4.815,100.06,111.88,1023.2,1.0006
4.82,100.05,111.92,1022.1,1.0005
4.825,100.06,111.93,1018.8,1.0006
4.83,100.04,111.91,1020.6,1.0004
4.835,100.06,111.91,1020.1,1.0006
4.84,100.04,111.7,1022.7,1.0004
4.845,100.05,111.77,1023.9,1.0005
4.85,100.03,111.48,1022.9,1.0003
4.855,100.04,111.77,1023.7,1.0004
4.86,100.02,111.63,1026.4,1.0002
4.865,100.03,111.87,1025.5,1.0003
4.87,100,111.68,1030.4,1
4.875,100.01,111.45,1023.8,1.0001
4.88,99.993,111.36,1021.6,0.99993
4.885,100,111.32,1017.9,1
4.89,99.982,111.33,1019.1,0.99982
4.895,99.999,111.47,1018,0.99999
4.9,99.976,111.6,1021.4,0.99976
4.905,99.99,111.62,1018.3,0.9999
4.91,99.968,111.54,1018.5,0.99968
4.915,99.981,111.62,1018.2,0.99981
4.92,99.96,111.71,1023.2,0.9996
4.925,99.975,111.52,1020.7,0.99975
4.93,99.949,111.63,1021.5,0.99949
4.935,99.969,111.67,1021.8,0.99969
4.94,99.933,111.68,1022.8,0.99933
4.945,99.954,111.9,1021,0.99954
4.95,99.923,111.96,1022.3,0.99923
4.955,99.949,111.9,1020.7,0.99949
4.96,99.914,111.78,1016.9,0.99914
4.965,99.942,111.65,1018.4,0.99942
4.97,99.908,111.67,1016.9,0.99908
4.975,99.933,111.6,1019.2,0.99933
4.98,99.903,111.61,1022.8,0.99903
4.985,99.926,111.6,1024.9,0.99926
4.99,99.898,111.57,1024.9,0.99898
4.995,99.92,111.53,1023.5,0.9992
5,99.896,111.46,1022.9,0.99896
5.005,99.92,111.48,1020.1,0.9992
5.01,99.896,111.62,1021.3,0.99896
5.015,99.92,111.73,1019.6,0.9992
5.02,99.894,111.83,1017,0.99894
5.025,99.921,111.8,1017,0.99921
5.03,99.89,111.7,1016.6,0.9989
5.035,99.922,111.62,1018.9,0.99922
5.04,99.888,111.67,1020.4,0.99888
5.045,99.92,111.77,1021.2,0.9992
5.05,99.89,111.86,1020.3,0.9989
5.055,99.92,111.93,1020.1,0.9992
5.06,99.892,112.02,1023.6,0.99892
5.065,99.922,111.89,1022.9,0.99922
5.07,99.891,111.94,1024.2,0.99891
5.075,99.919,111.98,1023.3,0.99919
5.08,99.897,111.92,1019.6,0.99897
5.085,99.925,112,1019.7,0.99925
5.09,99.907,112.06,1020.5,0.99907
5.095,99.933,112.07,1019.3,0.99933
5.1,99.918,112.13,1018.6,0.99918
5.105,99.947,112.1,1019,0.99947
5.11,99.93,112.11,1017.8,0.9993
5.115,99.961,112.05,1018.6,0.99961
5.12,99.939,112.1,1023.4,0.99939
5.125,99.969,111.97,1023.6,0.99969
5.13,99.947,111.99,1025,0.99947
5.135,99.975,111.99,1024,0.99975
5.14,99.951,112.04,1021.7,0.99951
5.145,99.978,112.09,1020.1,0.99978
5.15,99.954,112.17,1021.8,0.99954
5.155,99.981,112.08,1020.6,0.99981
5.16,99.966,112.16,1019.4,0.99966
5.165,99.992,112.03,1018.9,0.99992
5.17,99.977,112.07,1017.6,0.99977
5.175,100,112.05,1018.3,1
5.18,99.996,112.07,1023.9,0.99996
5.185,100.02,111.93,1024.2,1.0002
5.19,100.01,112.05,1025.3,1.0001
5.195,100.03,111.84,1024.1,1.0003
5.2,100.02,111.94,1022.5,1.0002
5.205,100.04,111.91,1020.5,1.0004
5.21,100.02,112.03,1024.6,1.0002
5.215,100.04,111.9,1021.9,1.0004
5.22,100.03,111.99,1021,1.0003
5.225,100.05,111.77,1019.5,1.0005
5.23,100.03,111.95,1019,1.0003
5.235,100.05,111.65,1018.3,1.0005
5.24,100.04,111.82,1024.7,1.0004
5.245,100.06,111.46,1024.2,1.0006
5.25,100.05,111.45,1025.1,1.0005
5.255,100.07,111.37,1024,1.0007
5.26,100.06,111.58,1023,1.0006
5.265,100.07,111.4,1019.4,1.0007
5.27,100.06,111.53,1019.6,1.0006
5.275,100.08,111.25,1019.1,1.0008
5.28,100.06,111.39,1017,1.0006
5.285,100.07,111.25,1017.6,1.0007
5.29,100.05,111.41,1015.9,1.0005
5.295,100.07,111.24,1018.1,1.0007
5.3,100.04,111.39,1021.2,1.0004
5.305,100.06,111.45,1021.7,1.0006
5.31,100.04,111.64,1022.9,1.0004
5.315,100.05,111.68,1021.1,1.0005
5.32,100.03,112.14,1021.6,1.0003
5.325,100.05,112.27,1023.5,1.0005
5.33,100.03,112.48,1024.6,1.0003
5.335,100.05,112.7,1024.8,1.0005
5.34,100.04,112.64,1021.8,1.0004
5.345,100.05,111.91,1019.3,1.0005
5.35,100.03,112.05,1017.5,1.0003
5.355,100.04,111.41,1018.6,1.0004
5.36,100.01,111.59,1019.8,1.0001
5.365,100.03,111.61,1021.9,1.0003
5.37,100.01,111.87,1022.3,1.0001
5.375,100.03,111.78,1021.7,1.0003
5.38,100,111.95,1023.6,1
5.385,100.01,111.65,1022.1,1.0001
5.39,99.985,111.78,1023.5,0.99985
5.395,100,111.61,1021.1,1
5.4,99.974,111.76,1018.2,0.99974
5.405,99.993,111.74,1017,0.99993
5.41,99.964,111.89,1015.6,0.99964
5.415,99.981,111.75,1018.2,0.99981
5.42,99.955,111.93,1019,0.99955
5.425,99.971,111.68,1022.2,0.99971
5.43,99.947,111.83,1022.3,0.99947
5.435,99.966,111.59,1022.1,0.99966
5.44,99.934,111.75,1024.5,0.99934
5.445,99.959,111.68,1023,0.99959
5.45,99.923,111.86,1024.3,0.99923
5.455,99.949,111.99,1023.8,0.99949
5.46,99.911,112.17,1021,0.99911
5.465,99.935,112.42,1019.8,0.99935
5.47,99.897,112.57,1018.8,0.99897
5.475,99.928,112.18,1019,0.99928
5.48,99.891,112.33,1019.3,0.99891
5.485,99.92,112.04,1020.6,0.9992
5.49,99.885,112.2,1020.4,0.99885
5.495,99.91,112.27,1021.3,0.9991
5.5,99.883,112.46,1024.1,0.99883
5.505,99.911,112.29,1025.2,0.99911
5.51,99.886,112.56,1026.5,0.99886
5.515,99.913,112.46,1025,0.99913
5.52,99.884,112.65,1022.4,0.99884
5.525,99.918,112.04,1019.4,0.99918
5.53,99.884,112.12,1018.6,0.99884
5.535,99.919,111.55,1019.5,0.99919
5.54,99.883,111.72,1018.8,0.99883
5.545,99.909,112.11,1018.8,0.99909
5.55,99.874,112.28,1018.7,0.99874
5.555,99.906,112.58,1018.3,0.99906
5.56,99.871,112.77,1021.7,0.99871
5.565,99.912,112.36,1023.5,0.99912
5.57,99.879,112.55,1024.6,0.99879
5.575,99.91,112.38,1024.6,0.9991
5.58,99.884,112.77,1024.4,0.99884
5.585,99.912,112.71,1023.1,0.99912
5.59,99.89,112.97,1023,0.9989
5.595,99.926,112.27,1023.7,0.99926
5.6,99.91,112.2,1020.9,0.9991
5.605,99.947,111.73,1021.7,0.99947
5.61,99.928,111.8,1020.5,0.99928
5.615,99.956,112.13,1020.9,0.99956
5.62,99.929,112.33,1023.9,0.99929
5.625,99.963,112.14,1024.7,0.99963
5.63,99.935,112.16,1026.1,0.99935
5.635,99.974,111.61,1023.6,0.99974
5.64,99.949,111.71,1020.5,0.99949
5.645,99.981,111.53,1018.1,0.99981
5.65,99.959,111.85,1017.4,0.99959
5.655,99.988,111.78,1017.3,0.99988
5.66,99.971,112.01,1017.2,0.99971
5.665,99.999,111.92,1019,0.99999
5.67,99.983,112.11,1018.1,0.99983
5.675,100,112.33,1020.3,1
5.68,99.991,112.69,1022.1,0.99991
5.685,100.01,112.76,1023.6,1.0001
5.69,100,113.01,1025.2,1
5.695,100.03,112.58,1023.9,1.0003
5.7,100.01,112.55,1023,1.0001
5.705,100.04,112.28,1020.4,1.0004
5.71,100.02,112.35,1020,1.0002
5.715,100.05,111.89,1020.2,1.0005
5.72,100.03,112,1020.1,1.0003
5.725,100.05,111.6,1022,1.0005
5.73,100.03,111.76,1021.1,1.0003
5.735,100.06,111.86,1022.1,1.0006
5.74,100.05,112.06,1024.6,1.0005
5.745,100.07,112.3,1025.1,1.0007
5.75,100.05,112.71,1025.8,1.0005
5.755,100.07,112.63,1025.2,1.0007
5.76,100.05,113.05,1024.9,1.0005
5.765,100.06,112.27,1021.8,1.0006
5.77,100.06,112.15,1021.2,1.0006
5.775,100.08,111.99,1019.3,1.0008
5.78,100.06,111.91,1017.1,1.0006
5.785,100.08,111.75,1019.1,1.0008
5.79,100.06,111.94,1019.5,1.0006
5.795,100.07,111.78,1022.3,1.0007
5.8,100.04,112.18,1023.7,1.0004
5.805,100.06,112,1022.5,1.0006
5.81,100.03,112.35,1023.2,1.0003
5.815,100.05,111.81,1020,1.0005
5.82,100.03,111.74,1018,1.0003
5.825,100.06,111.74,1016,1.0006
5.83,100.04,111.76,1015.3,1.0004
5.835,100.06,111.9,1015.3,1.0006
5.84,100.04,112.08,1016.1,1.0004
5.845,100.05,112.23,1017.2,1.0005
