t,UAB0,UAB1,UAB2
3.025,100.13,1.0013,1.00002
3.03,100.13,1.0013,1.00002
3.035,100.13,1.0013,1.00002
3.04,100.13,1.0013,1.00002
3.045,100.13,1.0013,1.00002
3.05,100.13,1.0013,1.00002
3.055,100.13,1.0013,1.00002
3.06,100.13,1.0013,1.00002
3.065,100.13,1.0013,1.00002
3.07,100.13,1.0013,1.00002
3.075,100.13,1.0013,1.00002
3.08,100.13,1.0013,1.00002
3.085,100.13,1.0013,1.00002
3.09,100.13,1.0013,1.00002
3.095,100.13,1.0013,1.00002
3.1,100.13,1.0013,1.00002
3.105,100.12,1.0012,0.99992
3.11,100.12,1.0012,0.99992
3.115,100.12,1.0012,0.99992
3.12,100.12,1.0012,0.99992
3.125,100.12,1.0012,0.99992
3.13,100.11,1.0011,0.99982
3.135,100.11,1.0011,0.99982
3.14,100.11,1.0011,0.99982
3.145,100.11,1.0011,0.99982
3.15,100.11,1.0011,0.99982
3.155,100.11,1.0011,0.99982
3.16,100.11,1.0011,0.99982
3.165,100.11,1.0011,0.99982
3.17,100.11,1.0011,0.99982
3.175,100.11,1.0011,0.99982
3.18,100.12,1.0012,0.99992
3.185,100.11,1.0011,0.99982
3.19,100.11,1.0011,0.99982
3.195,100.11,1.0011,0.99982
3.2,100.11,1.0011,0.99982
3.205,100.11,1.0011,0.99982
3.21,100.1,1.001,0.99972
3.215,100.1,1.001,0.99972
3.22,100.1,1.001,0.99972
3.225,100.1,1.001,0.99972
3.23,100.1,1.001,0.99972
3.235,100.1,1.001,0.99972
3.24,100.1,1.001,0.99972
3.245,100.1,1.001,0.99972
3.25,100.1,1.001,0.99972
3.255,100.1,1.001,0.99972
3.26,100.11,1.0011,0.99982
3.265,100.1,1.001,0.99972
3.27,100.1,1.001,0.99972
3.275,100.1,1.001,0.99972
3.28,100.1,1.001,0.99972
3.285,100.1,1.001,0.99972
3.29,100.1,1.001,0.99972
3.295,100.1,1.001,0.99972
3.3,100.09,1.0009,0.99962
3.305,100.1,1.001,0.99972
3.31,100.09,1.0009,0.99962
3.315,100.09,1.0009,0.99962
3.32,100.1,1.001,0.99972
3.325,100.1,1.001,0.99972
3.33,100.1,1.001,0.99972
3.335,100.1,1.001,0.99972
3.34,100.11,1.0011,0.99982
3.345,100.1,1.001,0.99972
3.35,100.1,1.001,0.99972
3.355,100.1,1.001,0.99972
3.36,100.1,1.001,0.99972
3.365,100.1,1.001,0.99972
3.37,100.09,1.0009,0.99962
3.375,100.1,1.001,0.99972
3.38,100.09,1.0009,0.99962
3.385,100.09,1.0009,0.99962
3.39,100.09,1.0009,0.99962
3.395,100.09,1.0009,0.99962
3.4,100.09,1.0009,0.99962
3.405,100.09,1.0009,0.99962
3.41,100.09,1.0009,0.99962
3.415,100.09,1.0009,0.99962
3.42,100.1,1.001,0.99972
3.425,100.09,1.0009,0.99962
3.43,100.1,1.001,0.99972
3.435,100.09,1.0009,0.99962
3.44,100.09,1.0009,0.99962
3.445,100.09,1.0009,0.99962
3.45,100.09,1.0009,0.99962
3.455,100.09,1.0009,0.99962
3.46,100.08,1.0008,0.99952
3.465,100.09,1.0009,0.99962
3.47,100.08,1.0008,0.99952
3.475,100.09,1.0009,0.99962
3.48,100.08,1.0008,0.99952
3.485,100.09,1.0009,0.99962
3.49,100.09,1.0009,0.99962
3.495,100.09,1.0009,0.99962
3.5,100.09,1.0009,0.99962
3.505,100.09,1.0009,0.99962
3.51,100.09,1.0009,0.99962
3.515,100.09,1.0009,0.99962
3.52,100.09,1.0009,0.99962
3.525,100.08,1.0008,0.99952
3.53,100.08,1.0008,0.99952
3.535,100.08,1.0008,0.99952
3.54,100.08,1.0008,0.99952
3.545,100.08,1.0008,0.99952
3.55,100.07,1.0007,0.99942
3.555,100.08,1.0008,0.99952
3.56,100.08,1.0008,0.99952
3.565,100.08,1.0008,0.99952
3.57,100.08,1.0008,0.99952
3.575,100.08,1.0008,0.99952
3.58,100.08,1.0008,0.99952
3.585,100.08,1.0008,0.99952
3.59,100.08,1.0008,0.99952
3.595,100.08,1.0008,0.99952
3.6,100.08,1.0008,0.99952
3.605,100.08,1.0008,0.99952
3.61,100.07,1.0007,0.99942
3.615,100.07,1.0007,0.99942
3.62,100.07,1.0007,0.99942
3.625,100.07,1.0007,0.99942
3.63,100.07,1.0007,0.99942
3.635,100.08,1.0008,0.99952
3.64,100.08,1.0008,0.99952
3.645,100.08,1.0008,0.99952
3.65,100.08,1.0008,0.99952
3.655,100.08,1.0008,0.99952
3.66,100.08,1.0008,0.99952
3.665,100.08,1.0008,0.99952
3.67,100.07,1.0007,0.99942
3.675,100.07,1.0007,0.99942
3.68,100.07,1.0007,0.99942
3.685,100.07,1.0007,0.99942
3.69,100.07,1.0007,0.99942
3.695,100.07,1.0007,0.99942
3.7,100.07,1.0007,0.99942
3.705,100.07,1.0007,0.99942
3.71,100.07,1.0007,0.99942
3.715,100.07,1.0007,0.99942
3.72,100.07,1.0007,0.99942
3.725,100.07,1.0007,0.99942
3.73,100.07,1.0007,0.99942
3.735,100.07,1.0007,0.99942
3.74,100.07,1.0007,0.99942
3.745,100.07,1.0007,0.99942
3.75,100.07,1.0007,0.99942
3.755,100.07,1.0007,0.99942
3.76,100.07,1.0007,0.99942
3.765,100.07,1.0007,0.99942
3.77,100.07,1.0007,0.99942
3.775,100.07,1.0007,0.99942
3.78,100.07,1.0007,0.99942
3.785,100.07,1.0007,0.99942
3.79,100.07,1.0007,0.99942
3.795,100.07,1.0007,0.99942
3.8,100.07,1.0007,0.99942
3.805,100.07,1.0007,0.99942
3.81,100.07,1.0007,0.99942
3.815,100.07,1.0007,0.99942
3.82,100.07,1.0007,0.99942
3.825,100.07,1.0007,0.99942
3.83,100.07,1.0007,0.99942
3.835,100.07,1.0007,0.99942
3.84,100.07,1.0007,0.99942
3.845,100.07,1.0007,0.99942
3.85,100.06,1.0006,0.99932
3.855,100.06,1.0006,0.99932
3.86,100.06,1.0006,0.99932
3.865,100.06,1.0006,0.99932
3.87,100.06,1.0006,0.99932
3.875,100.06,1.0006,0.99932
3.88,100.06,1.0006,0.99932
3.885,100.06,1.0006,0.99932
3.89,100.06,1.0006,0.99932
3.895,100.06,1.0006,0.99932
3.9,100.06,1.0006,0.99932
3.905,100.06,1.0006,0.99932
3.91,100.06,1.0006,0.99932
3.915,100.05,1.0005,0.99922
3.92,100.05,1.0005,0.99922
3.925,100.05,1.0005,0.99922
3.93,100.05,1.0005,0.99922
3.935,100.05,1.0005,0.99922
3.94,100.05,1.0005,0.99922
3.945,100.05,1.0005,0.99922
3.95,100.05,1.0005,0.99922
3.955,100.05,1.0005,0.99922
3.96,100.05,1.0005,0.99922
3.965,100.05,1.0005,0.99922
3.97,100.05,1.0005,0.99922
3.975,100.05,1.0005,0.99922
3.98,100.05,1.0005,0.99922
3.985,100.05,1.0005,0.99922
3.99,100.05,1.0005,0.99922
3.995,100.05,1.0005,0.99922
4,100.05,1.0005,0.99922
4.005,100.05,1.0005,0.99922
4.01,100.05,1.0005,0.99922
4.015,100.05,1.0005,0.99922
4.02,100.05,1.0005,0.99922
4.025,100.05,1.0005,0.99922
4.03,100.05,1.0005,0.99922
4.035,100.05,1.0005,0.99922
4.04,100.06,1.0006,0.99932
4.045,100.06,1.0006,0.99932
4.05,100.06,1.0006,0.99932
4.055,100.06,1.0006,0.99932
4.06,100.06,1.0006,0.99932
4.065,100.06,1.0006,0.99932
4.07,100.06,1.0006,0.99932
4.075,100.05,1.0005,0.99922
4.08,100.05,1.0005,0.99922
4.085,100.05,1.0005,0.99922
4.09,100.05,1.0005,0.99922
4.095,100.05,1.0005,0.99922
4.1,100.05,1.0005,0.99922
4.105,100.05,1.0005,0.99922
4.11,100.04,1.0004,0.99912
4.115,100.05,1.0005,0.99922
4.12,100.04,1.0004,0.99912
4.125,100.05,1.0005,0.99922
4.13,100.04,1.0004,0.99912
4.135,100.05,1.0005,0.99922
4.14,100.04,1.0004,0.99912
4.145,100.05,1.0005,0.99922
4.15,100.05,1.0005,0.99922
4.155,100.05,1.0005,0.99922
4.16,100.05,1.0005,0.99922
4.165,100.05,1.0005,0.99922
4.17,100.05,1.0005,0.99922
4.175,100.05,1.0005,0.99922
4.18,100.05,1.0005,0.99922
4.185,100.05,1.0005,0.99922
4.19,100.05,1.0005,0.99922
4.195,100.05,1.0005,0.99922
4.2,100.05,1.0005,0.99922
4.205,100.05,1.0005,0.99922
4.21,100.05,1.0005,0.99922
4.215,100.05,1.0005,0.99922
4.22,100.05,1.0005,0.99922
4.225,100.05,1.0005,0.99922
4.23,100.05,1.0005,0.99922
4.235,100.05,1.0005,0.99922
4.24,100.05,1.0005,0.99922
4.245,100.05,1.0005,0.99922
4.25,100.05,1.0005,0.99922
4.255,100.05,1.0005,0.99922
4.26,100.05,1.0005,0.99922
4.265,100.05,1.0005,0.99922
4.27,100.04,1.0004,0.99912
4.275,100.04,1.0004,0.99912
4.28,100.04,1.0004,0.99912
4.285,100.04,1.0004,0.99912
4.29,100.04,1.0004,0.99912
4.295,100.04,1.0004,0.99912
4.3,100.04,1.0004,0.99912
4.305,100.04,1.0004,0.99912
4.31,100.04,1.0004,0.99912
4.315,100.04,1.0004,0.99912
4.32,100.04,1.0004,0.99912
4.325,100.04,1.0004,0.99912
4.33,100.04,1.0004,0.99912
4.335,100.04,1.0004,0.99912
4.34,100.04,1.0004,0.99912
4.345,100.04,1.0004,0.99912
4.35,100.04,1.0004,0.99912
4.355,100.04,1.0004,0.99912
4.36,100.04,1.0004,0.99912
4.365,100.04,1.0004,0.99912
4.37,100.04,1.0004,0.99912
4.375,100.04,1.0004,0.99912
4.38,100.04,1.0004,0.99912
4.385,100.04,1.0004,0.99912
4.39,100.04,1.0004,0.99912
4.395,100.05,1.0005,0.99922
4.4,100.04,1.0004,0.99912
4.405,100.05,1.0005,0.99922
4.41,100.04,1.0004,0.99912
4.415,100.05,1.0005,0.99922
4.42,100.04,1.0004,0.99912
4.425,100.04,1.0004,0.99912
4.43,100.04,1.0004,0.99912
4.435,100.04,1.0004,0.99912
4.44,100.04,1.0004,0.99912
4.445,100.05,1.0005,0.99922
4.45,100.05,1.0005,0.99922
4.455,100.04,1.0004,0.99912
4.46,100.05,1.0005,0.99922
4.465,100.04,1.0004,0.99912
4.47,100.04,1.0004,0.99912
4.475,100.04,1.0004,0.99912
4.48,100.04,1.0004,0.99912
4.485,100.04,1.0004,0.99912
4.49,100.04,1.0004,0.99912
4.495,100.04,1.0004,0.99912
4.5,100.04,1.0004,0.99912
4.505,100.04,1.0004,0.99912
4.51,100.04,1.0004,0.99912
4.515,100.04,1.0004,0.99912
4.52,100.04,1.0004,0.99912
4.525,100.05,1.0005,0.99922
4.53,100.04,1.0004,0.99912
4.535,100.05,1.0005,0.99922
4.54,100.04,1.0004,0.99912
4.545,100.05,1.0005,0.99922
4.55,100.04,1.0004,0.99912
4.555,100.04,1.0004,0.99912
4.56,100.04,1.0004,0.99912
4.565,100.04,1.0004,0.99912
4.57,100.04,1.0004,0.99912
4.575,100.04,1.0004,0.99912
4.58,100.04,1.0004,0.99912
4.585,100.04,1.0004,0.99912
4.59,100.04,1.0004,0.99912
4.595,100.04,1.0004,0.99912
4.6,100.04,1.0004,0.99912
4.605,100.04,1.0004,0.99912
4.61,100.04,1.0004,0.99912
4.615,100.04,1.0004,0.99912
4.62,100.05,1.0005,0.99922
4.625,100.04,1.0004,0.99912
4.63,100.04,1.0004,0.99912
4.635,100.04,1.0004,0.99912
4.64,100.04,1.0004,0.99912
4.645,100.04,1.0004,0.99912
4.65,100.04,1.0004,0.99912
4.655,100.03,1.0003,0.99902
4.66,100.03,1.0003,0.99902
4.665,100.03,1.0003,0.99902
4.67,100.03,1.0003,0.99902
4.675,100.03,1.0003,0.99902
4.68,100.03,1.0003,0.99902
4.685,100.03,1.0003,0.99902
4.69,100.03,1.0003,0.99902
4.695,100.03,1.0003,0.99902
4.7,100.03,1.0003,0.99902
4.705,100.03,1.0003,0.99902
4.71,100.03,1.0003,0.99902
4.715,100.03,1.0003,0.99902
4.72,100.03,1.0003,0.99902
4.725,100.03,1.0003,0.99902
4.73,100.03,1.0003,0.99902
4.735,100.02,1.0002,0.99892
4.74,100.02,1.0002,0.99892
4.745,100.02,1.0002,0.99892
4.75,100.02,1.0002,0.99892
4.755,100.02,1.0002,0.99892
4.76,100.02,1.0002,0.99892
4.765,100.02,1.0002,0.99892
4.77,100.02,1.0002,0.99892
4.775,100.03,1.0003,0.99902
4.78,100.03,1.0003,0.99902
4.785,100.03,1.0003,0.99902
4.79,100.03,1.0003,0.99902
4.795,100.03,1.0003,0.99902
4.8,100.03,1.0003,0.99902
4.805,100.03,1.0003,0.99902
4.81,100.03,1.0003,0.99902
4.815,100.03,1.0003,0.99902
4.82,100.03,1.0003,0.99902
4.825,100.03,1.0003,0.99902
4.83,100.03,1.0003,0.99902
4.835,100.03,1.0003,0.99902
4.84,100.03,1.0003,0.99902
4.845,100.03,1.0003,0.99902
4.85,100.03,1.0003,0.99902
4.855,100.03,1.0003,0.99902
4.86,100.03,1.0003,0.99902
4.865,100.03,1.0003,0.99902
4.87,100.03,1.0003,0.99902
4.875,100.03,1.0003,0.99902
4.88,100.03,1.0003,0.99902
4.885,100.03,1.0003,0.99902
4.89,100.03,1.0003,0.99902
4.895,100.03,1.0003,0.99902
4.9,100.03,1.0003,0.99902
4.905,100.03,1.0003,0.99902
4.91,100.03,1.0003,0.99902
4.915,100.03,1.0003,0.99902
4.92,100.03,1.0003,0.99902
4.925,100.03,1.0003,0.99902
4.93,100.03,1.0003,0.99902
4.935,100.03,1.0003,0.99902
4.94,100.03,1.0003,0.99902
4.945,100.03,1.0003,0.99902
4.95,100.03,1.0003,0.99902
4.955,100.03,1.0003,0.99902
4.96,100.03,1.0003,0.99902
4.965,100.03,1.0003,0.99902
4.97,100.03,1.0003,0.99902
4.975,100.03,1.0003,0.99902
4.98,100.03,1.0003,0.99902
4.985,100.03,1.0003,0.99902
4.99,100.03,1.0003,0.99902
4.995,100.03,1.0003,0.99902
5,100.03,1.0003,0.99902
5.005,100.03,1.0003,0.99902
5.01,100.03,1.0003,0.99902
5.015,100.03,1.0003,0.99902
5.02,100.04,1.0004,0.99912
5.025,100.03,1.0003,0.99902
5.03,100.04,1.0004,0.99912
5.035,100.03,1.0003,0.99902
5.04,100.03,1.0003,0.99902
5.045,100.03,1.0003,0.99902
5.05,100.03,1.0003,0.99902
5.055,100.03,1.0003,0.99902
5.06,100.02,1.0002,0.99892
5.065,100.03,1.0003,0.99902
5.07,100.02,1.0002,0.99892
5.075,100.02,1.0002,0.99892
5.08,100.02,1.0002,0.99892
5.085,100.03,1.0003,0.99902
5.09,100.03,1.0003,0.99902
5.095,100.03,1.0003,0.99902
5.1,100.03,1.0003,0.99902
5.105,100.03,1.0003,0.99902
5.11,100.03,1.0003,0.99902
5.115,100.03,1.0003,0.99902
5.12,100.03,1.0003,0.99902
5.125,100.03,1.0003,0.99902
5.13,100.03,1.0003,0.99902
5.135,100.03,1.0003,0.99902
5.14,100.03,1.0003,0.99902
5.145,100.03,1.0003,0.99902
5.15,100.03,1.0003,0.99902
5.155,100.03,1.0003,0.99902
5.16,100.03,1.0003,0.99902
5.165,100.03,1.0003,0.99902
5.17,100.04,1.0004,0.99912
5.175,100.04,1.0004,0.99912
5.18,100.04,1.0004,0.99912
5.185,100.04,1.0004,0.99912
5.19,100.04,1.0004,0.99912
5.195,100.04,1.0004,0.99912
5.2,100.04,1.0004,0.99912
5.205,100.04,1.0004,0.99912
5.21,100.03,1.0003,0.99902
5.215,100.03,1.0003,0.99902
5.22,100.03,1.0003,0.99902
5.225,100.03,1.0003,0.99902
5.23,100.03,1.0003,0.99902
5.235,100.03,1.0003,0.99902
5.24,100.03,1.0003,0.99902
5.245,100.03,1.0003,0.99902
5.25,100.03,1.0003,0.99902
5.255,100.04,1.0004,0.99912
5.26,100.04,1.0004,0.99912
5.265,100.04,1.0004,0.99912
5.27,100.04,1.0004,0.99912
5.275,100.04,1.0004,0.99912
5.28,100.04,1.0004,0.99912
5.285,100.04,1.0004,0.99912
5.29,100.04,1.0004,0.99912
5.295,100.04,1.0004,0.99912
5.3,100.04,1.0004,0.99912
5.305,100.04,1.0004,0.99912
5.31,100.04,1.0004,0.99912
5.315,100.04,1.0004,0.99912
5.32,100.04,1.0004,0.99912
5.325,100.04,1.0004,0.99912
5.33,100.04,1.0004,0.99912
5.335,100.04,1.0004,0.99912
5.34,100.04,1.0004,0.99912
5.345,100.04,1.0004,0.99912
5.35,100.05,1.0005,0.99922
5.355,100.04,1.0004,0.99912
5.36,100.05,1.0005,0.99922
5.365,100.04,1.0004,0.99912
5.37,100.04,1.0004,0.99912
5.375,100.04,1.0004,0.99912
5.38,100.04,1.0004,0.99912
5.385,100.04,1.0004,0.99912
5.39,100.04,1.0004,0.99912
5.395,100.04,1.0004,0.99912
5.4,100.04,1.0004,0.99912
5.405,100.04,1.0004,0.99912
5.41,100.04,1.0004,0.99912
5.415,100.04,1.0004,0.99912
5.42,100.04,1.0004,0.99912
5.425,100.04,1.0004,0.99912
5.43,100.04,1.0004,0.99912
5.435,100.04,1.0004,0.99912
5.44,100.04,1.0004,0.99912
5.445,100.04,1.0004,0.99912
5.45,100.03,1.0003,0.99902
5.455,100.03,1.0003,0.99902
5.46,100.03,1.0003,0.99902
5.465,100.03,1.0003,0.99902
5.47,100.03,1.0003,0.99902
5.475,100.04,1.0004,0.99912
5.48,100.04,1.0004,0.99912
5.485,100.04,1.0004,0.99912
5.49,100.04,1.0004,0.99912
5.495,100.04,1.0004,0.99912
5.5,100.04,1.0004,0.99912
5.505,100.04,1.0004,0.99912
5.51,100.04,1.0004,0.99912
5.515,100.04,1.0004,0.99912
5.52,100.04,1.0004,0.99912
5.525,100.04,1.0004,0.99912
5.53,100.03,1.0003,0.99902
5.535,100.04,1.0004,0.99912
5.54,100.04,1.0004,0.99912
5.545,100.04,1.0004,0.99912
5.55,100.04,1.0004,0.99912
5.555,100.04,1.0004,0.99912
5.56,100.04,1.0004,0.99912
5.565,100.04,1.0004,0.99912
5.57,100.04,1.0004,0.99912
5.575,100.04,1.0004,0.99912
5.58,100.04,1.0004,0.99912
5.585,100.04,1.0004,0.99912
5.59,100.04,1.0004,0.99912
5.595,100.04,1.0004,0.99912
5.6,100.04,1.0004,0.99912
5.605,100.04,1.0004,0.99912
5.61,100.04,1.0004,0.99912
5.615,100.04,1.0004,0.99912
5.62,100.04,1.0004,0.99912
5.625,100.04,1.0004,0.99912
5.63,100.04,1.0004,0.99912
5.635,100.04,1.0004,0.99912
5.64,100.05,1.0005,0.99922
5.645,100.04,1.0004,0.99912
5.65,100.04,1.0004,0.99912
5.655,100.04,1.0004,0.99912
5.66,100.04,1.0004,0.99912
5.665,100.04,1.0004,0.99912
5.67,100.04,1.0004,0.99912
5.675,100.05,1.0005,0.99922
5.68,100.04,1.0004,0.99912
5.685,100.05,1.0005,0.99922
5.69,100.05,1.0005,0.99922
5.695,100.05,1.0005,0.99922
5.7,100.05,1.0005,0.99922
5.705,100.05,1.0005,0.99922
5.71,100.05,1.0005,0.99922
5.715,100.05,1.0005,0.99922
5.72,100.05,1.0005,0.99922
5.725,100.05,1.0005,0.99922
5.73,100.05,1.0005,0.99922
5.735,100.05,1.0005,0.99922
5.74,100.05,1.0005,0.99922
5.745,100.05,1.0005,0.99922
5.75,100.05,1.0005,0.99922
5.755,100.05,1.0005,0.99922
5.76,100.05,1.0005,0.99922
5.765,100.05,1.0005,0.99922
5.77,100.05,1.0005,0.99922
5.775,100.05,1.0005,0.99922
5.78,100.05,1.0005,0.99922
5.785,100.05,1.0005,0.99922
5.79,100.06,1.0006,0.99932
5.795,100.05,1.0005,0.99922
5.8,100.06,1.0006,0.99932
5.805,100.05,1.0005,0.99922
5.81,100.06,1.0006,0.99932
5.815,100.05,1.0005,0.99922
5.82,100.05,1.0005,0.99922
5.825,100.05,1.0005,0.99922
5.83,100.05,1.0005,0.99922
5.835,100.05,1.0005,0.99922
5.84,100.05,1.0005,0.99922
5.845,100.05,1.0005,0.99922
5.85,100.05,1.0005,0.99922
5.855,100.05,1.0005,0.99922
5.86,100.06,1.0006,0.99932
5.865,100.06,1.0006,0.99932
5.87,100.06,1.0006,0.99932
5.875,100.06,1.0006,0.99932
5.88,100.06,1.0006,0.99932
5.885,100.06,1.0006,0.99932
5.89,100.06,1.0006,0.99932
5.895,100.06,1.0006,0.99932
5.9,100.05,1.0005,0.99922
5.905,100.05,1.0005,0.99922
5.91,100.05,1.0005,0.99922
5.915,100.05,1.0005,0.99922
5.92,100.05,1.0005,0.99922
5.925,100.05,1.0005,0.99922
5.93,100.05,1.0005,0.99922
5.935,100.05,1.0005,0.99922
5.94,100.06,1.0006,0.99932
5.945,100.06,1.0006,0.99932
5.95,100.06,1.0006,0.99932
5.955,100.06,1.0006,0.99932
5.96,100.06,1.0006,0.99932
5.965,100.06,1.0006,0.99932
5.97,100.06,1.0006,0.99932
5.975,100.05,1.0005,0.99922
5.98,100.05,1.0005,0.99922
5.985,100.05,1.0005,0.99922
5.99,100.05,1.0005,0.99922
5.995,100.05,1.0005,0.99922
6,100.05,1.0005,0.99922
6.005,100.05,1.0005,0.99922
6.01,100.05,1.0005,0.99922
6.015,100.06,1.0006,0.99932
6.02,100.06,1.0006,0.99932
6.025,100.06,1.0006,0.99932
6.03,100.06,1.0006,0.99932
6.035,100.06,1.0006,0.99932
6.04,100.06,1.0006,0.99932
6.045,100.06,1.0006,0.99932
6.05,100.06,1.0006,0.99932
6.055,100.06,1.0006,0.99932
6.06,100.06,1.0006,0.99932
6.065,100.06,1.0006,0.99932
6.07,100.05,1.0005,0.99922
6.075,100.06,1.0006,0.99932
6.08,100.06,1.0006,0.99932
6.085,100.06,1.0006,0.99932
